"X","gross","genres","movie_title","movie_imdb_link","budget","title_year","imdb_score","Action","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","History","Horror","Music","Musical","Mystery","Romance","Sci.Fi","Sport","Thriller","War","Western","rt_score","t_gross","t_budget","t_imdb_score","t_rt_score"
1,760505847,"Action|Adventure|Fantasy|Sci-Fi","Avatar ","http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1",2.37e+08,2009,7.9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,83,660.256221380828,492.303202783793,7.9,0.941332186301316
2,309404152,"Action|Adventure|Fantasy","Pirates of the Caribbean: At World's End ","http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1",3e+08,2007,7.1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,526.507497052219,522.429605180997,7.1,-0.124410703516544
4,448130642,"Action|Thriller","The Dark Knight Rises ","http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1",2.5e+08,2012,8.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,577.98414261187,498.973371873174,8.5,1.10923983389768
6,73058679,"Action|Adventure|Sci-Fi","John Carter ","http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1",263700000,2012,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,365.809399215674,505.726865264435,6.6,0.0248206500144439
7,336530303,"Action|Adventure|Romance","Spider-Man 3 ","http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1",2.58e+08,2007,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,537.771350693405,502.949755367674,6.2,0.328446277586519
8,200807262,"Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance","Tangled ","http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1",2.6e+08,2010,7.8,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,89,472.162122026936,503.929372989546,7.8,1.20624568818228
9,458991599,"Action|Adventure|Sci-Fi","Avengers: Age of Ultron ","http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1",2.5e+08,2015,7.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75,581.478801968873,498.973371873174,7.5,0.666720792326638
12,200069408,"Action|Adventure|Sci-Fi","Superman Returns ","http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1",2.09e+08,2006,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,471.724110874985,476.946272172698,6.1,0.698045859480917
14,423032628,"Action|Adventure|Fantasy","Pirates of the Caribbean: Dead Man's Chest ","http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1",2.25e+08,2006,7.3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,569.658532574651,485.897948556636,7.3,0.0994360268467558
15,89289910,"Action|Adventure|Western","The Lone Ranger ","http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1",2.15e+08,2013,6.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,384.830736212125,480.361489775811,6.5,-0.490525095280763
16,291021565,"Action|Adventure|Fantasy|Sci-Fi","Man of Steel ","http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1",2.25e+08,2013,7.2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,55,518.445850650438,485.897948556636,7.2,0.124410703516544
17,141614023,"Action|Adventure|Family|Fantasy","The Chronicles of Narnia: Prince Caspian ","http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1",2.25e+08,2008,6.6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,67,432.351583609602,485.897948556636,6.6,0.435270167048313
18,623279547,"Action|Adventure|Sci-Fi","The Avengers ","http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1",2.2e+08,2012,8.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,628.019838013761,483.153314252363,8.1,1.37763233712214
